token,count
a,26351
aa,37
aaa,2
aabe,1
aae,1
aameece,1
aap,4
aaps,1
aardolie,3
aaron,26
aarp,3
aattached,1
ab,128
aba,7
abacan,1
abag,3
abandon,10
abandoned,10
abandoning,3
abate,1
abating,8
abb,6
abbott,4
abc,16
abd,1
abdicate,2
abegas,1
aberration,2
abet,1
abeyance,1
abf,2
abhor,2
abhorrent,1
abide,9
abiding,3
abilene,4
abilities,8
ability,262
able,407
abler,3
abn,7
abnormal,4
abnormalities,2
abnormally,3
aboard,6
abode,2
abolish,7
abolished,4
abolishing,2
abomination,1
aboriginal,1
abound,4
abounded,1
about,3392
aboutpserc,1
above,334
abraham,191
abramson,6
abrasions,2
abreast,2
abreu,1
abroad,7
abrupt,3
abruptly,12
absence,37
absences,2
absent,5
absolute,7
absolutely,48
absolve,5
absorb,11
absorbed,5
abstained,10
abstract,5
abstracts,1
absurd,13
abu,1
abundance,5
abundant,9
abuse,14
abused,10
abuses,33
abusing,2
abusive,4
abx,3
ac,10
acabar,1
acacia,3
academic,18
academics,14
academy,3
acc,20
accelerate,11
accelerated,9
accelerates,4
accelerating,13
acceleration,10
accelerations,1
accept,108
acceptable,7
acceptance,11
accepted,29
accepting,11
accepts,8
access,273
accessed,10
accessible,5
accident,25
accidents,23
acclaim,2
accomadate,1
accommodate,25
accommodated,1
accommodates,5
accommodation,1
accomodate,2
accompanied,7
accompaniment,2
accompany,4
accompanying,8
accomplice,2
accomplices,2
accomplish,6
accomplished,19
accomplishing,1
accomplishment,1
accomplishments,5
accord,43
accordance,19
accorded,2
according,535
accordingly,12
accordion,2
accords,13
account,168
accountable,19
accountancy,2
accountant,1
accountants,3
accounted,9
accounting,83
accounts,65
accreditation,1
accretive,3
accro,2
accross,1
accrue,2
accrued,6
accumulate,2
accumulated,20
accumulating,3
accuracy,9
accurate,40
accurately,4
accusation,8
accusations,37
accusatory,5
accuse,11
accused,103
accuses,1
accusing,21
accustomed,9
aceh,4
acesso,1
acevedo,6
acfy,1
achieve,37
achieved,19
achievement,11
achievements,2
achieves,2
achieving,13
achievment,1
achilles,10
acid,9
acker,1
ackerman,169
acknowledge,34
acknowledged,119
acknowledgement,1
acknowledges,18
acknowledging,4
acknowledgment,2
acom,5
acomnes,10
acompanharam,1
acordo,1
acorn,1
acquainted,1
acquire,57
acquired,33
acquires,7
acquiring,15
acquisition,97
acquisitions,24
acquisitive,1
acre,13
acreage,19
acredita,1
acres,50
acrimonious,7
acrobat,11
across,292
act,351
acted,74
acting,33
actins,1
action,595
actions,218
activate,1
activated,5
active,51
actively,19
activist,9
activists,30
activities,105
activity,82
acton,12
actor,11
actors,8
acts,53
actt,1
actual,146
actually,137
actualy,1
acumen,8
acupower,2
acute,8
acutely,4
ad,38
adam,15
adamant,12
adamantly,22
adamb,4
adamik,1
adams,9
adamsbroadwell,1
adamson,2
adapt,5
adaptable,2
adaptation,1
adapted,1
adapting,1
adaquate,2
add,183
added,408
adder,7
addicted,2
adding,119
addition,228
additional,419
additionally,33
additions,9
additive,3
additives,4
addled,2
address,250
addressed,48
addressee,14
addressees,1
addresses,22
addressing,33
adds,62
addtion,1
aden,11
adept,1
adequacy,6
adequate,50
adequately,19
ader,3
aderholt,2
aderholtarizona,1
adhere,2
adheres,1
adhering,2
adhoc,2
adinfo,2
adj,2
adjacent,28
adjoining,4
adjourning,1
adjournment,1
adjourns,1
adjudicatory,1
adjunct,7
adjust,17
adjusted,18
adjuster,1
adjusting,12
adjustment,8
adjustments,23
adjusts,1
adkins,1
adm,2
admin,12
administer,2
administered,3
administers,16
administration,922
administrations,10
administrative,75
administratively,1
administrator,32
administrators,23
adminstrative,1
admire,1
admired,13
admission,15
admissions,3
admit,16
admits,11
admitted,40
admittedly,6
admitting,21
admonished,3
admonishing,2
admonition,1
adobe,12
adoped,2
adopt,26
adopted,39
adopting,7
adoption,8
adopts,8
adoration,2
adores,2
adress,2
adrian,7
adroit,1
ads,34
adult,6
adults,4
adv,2
advance,143
advanced,38
advancement,4
advancements,1
advances,5
advancing,5
advantage,123
advantageous,3
advantages,38
adventure,5
adventures,2
adversarial,2
adversaries,7
adverse,18
adversely,8
adversity,2
advertise,14
advertisement,2
advertisers,5
advertising,34
advice,38
advisable,1
advise,50
advised,40
adviser,61
advisers,43
advises,11
advising,28
advisor,36
advisories,4
advisors,25
advisory,42
advocacy,47
advocate,66
advocated,8
advocates,133
advocating,15
advocation,2
aeaal,2
aealh,2
aec,2
aeco,2
aegis,1
aeglobalmarkets,2
aep,38
aepnet,2
aeraenergy,2
aerobic,2
aerobics,4
aeromexico,1
aeros,4
aerospace,10
aes,393
aesc,1
aesop,1
aesp,2
aesthetics,1
af,2
afar,7
afc,7
affair,10
affairs,152
affect,112
affected,154
affecting,38
affections,2
affects,22
affidavit,1
affidavits,5
affiliate,27
affiliated,24
affiliates,32
affiliation,1
affiliations,1
affirm,3
affirmations,1
affirmative,4
affirmatively,2
affirmed,2
affirming,1
afflicted,2
afflicting,4
affliliates,2
afford,106
affordable,18
afforded,4
affords,4
affront,2
affs,2
afloat,4
afoot,2
aforesaid,1
afoul,2
afp,4
afraid,20
africa,5
african,11
after,1236
aftermath,6
afternoon,125
afternoons,21
afterward,12
afterwards,6
ag,33
aga,16
again,304
against,570
againstapx,1
agape,5
agassi,8
agathright,3
agave,3
age,34
agencies,229
agency,697
agenda,102
agendas,6
agent,4
ages,4
aggarwal,1
aggravate,1
aggravated,4
aggravates,1
aggregate,17
aggregation,2
aggregious,2
aggressive,79
aggressively,46
aggressiveness,4
aggrieved,2
agile,3
agilent,1
agility,1
aging,51
agitate,1
agitated,2
agitating,1
agitation,2
agl,5
agncia,1
agnew,2
agnostics,1
ago,352
agold,2
agony,2
agoura,13
agree,215
agreed,444
agreeing,26
agreement,600
agreements,182
agrees,50
agrement,5
agressive,1
agressively,1
agricultural,46
agriculture,57
agua,2
aguila,3
aguilar,2
aguilera,4
aguirre,1
ahead,199
ahmed,1
ahrens,2
aid,44
aidan,1
aide,43
aides,116
aiding,2
aids,2
aiello,15
aig,2
ailing,36
ailments,3
aim,4
aimed,59
aiming,1
aims,13
ain,18
ainda,2
ainsworth,9
air,607
aircraft,43
aircraftsman,4
aired,10
airfare,1
airing,3
airline,15
airlines,29
airplane,9
airport,80
airports,6
airtel,1
airtours,2
airway,1
airways,4
airworthiness,1
aisle,1
aisles,8
ajello,2
ajlouny,2
ak,2
aka,2
akaka,1
akiko,2
akin,42
akron,2
al,63
ala,2
alabama,14
alameda,26
alamedans,6
alamitos,20
alamo,21
alan,185
alana,4
alarm,40
alarmed,9
alarming,6
alarmingly,5
alarmist,2
alarms,17
alas,2
alaska,20
alaskan,3
albany,8
albatrosses,2
albee,1
albeit,5
albert,7
alberta,18
albertini,1
alberto,2
albright,3
albums,4
alcala,6
alcoa,1
ale,1
aleck,6
alert,178
alerted,9
alerting,1
alerts,135
alex,31
alexa,4
alexander,17
alexanderson,2
alexandra,3
alexm,1
alfano,1
alfred,2
alfredo,3
alfredos,3
alger,2
algeria,1
algonquin,1
algorithim,1
algorithm,1
alguma,1
alhambra,9
alhamd,1
alia,1
alibis,2
alice,5
alicia,1
alienating,1
aliens,5
align,3
aligned,2
alignment,5
alike,8
aliso,12
alison,1
alive,6
alj,6
aljuraid,2
alkhayat,1
all,2301
allan,8
allay,4
allbaugh,3
allegation,19
allegations,74
allege,18
alleged,135
allegedly,10
alleges,31
allegheny,94
alleghenyenergy,1
alleging,20
allegretti,12
allegro,2
allen,49
allenjw,2
allergan,3
allergic,3
alleviate,26
alleviated,3
alleviating,1
alley,2
allgemeine,2
alliance,32
alliances,6
alliant,30
allied,3
allies,15
alligators,2
allison,16
allocate,5
allocated,32
allocating,9
allocation,35
allocations,5
allotment,3
allotments,1
allotted,6
allow,391
allowable,12
allowance,2
allowances,12
allowed,201
allowing,149
allows,110
allpolitics,2
alluding,2
allure,2
ally,6
alma,10
almost,220
alon,1
alone,119
along,251
alongside,5
alonso,14
alos,1
alot,4
aloud,7
alper,4
alpert,6
alpha,10
alphanumeric,2
alpine,11
alpinegroup,1
already,643
als,1
also,2058
alstom,5
alta,7
alter,15
alterations,1
altered,11
altering,4
alternate,16
alternating,1
alternativas,1
alternative,610
alternatively,3
alternatives,59
alters,1
although,439
altiplano,12
altitude,4
alto,28
altogether,24
altra,5
alum,1
aluminum,12
alumni,1
alums,1
alva,1
alvarez,63
alvino,1
alviso,3
alvo,1
always,174
alyson,4
am,952
amabile,12
amacfa,2
amana,2
amanda,9
amassed,29
amassing,11
amateurish,1
amaz,1
amazed,5
amazement,2
amazing,10
amazingly,1
ambassador,15
ambassadors,1
amber,1
ambient,1
ambiguity,3
ambit,1
ambition,3
ambitions,11
ambitious,7
ambled,2
ambler,18
ambush,2
amen,1
amenability,1
amenable,4
amend,29
amended,55
amending,9
amendment,108
amendments,50
amenities,3
amerada,1
amerca,1
ameren,1
america,162
american,216
americana,2
americanas,1
americanchemistry,1
americano,1
americanos,4
americans,57
americas,14
americusba,1
ameritech,2
amersham,2
amerson,5
ames,2
amex,1
amgen,3
amid,71
amie,2
aminu,1
amiss,3
amit,2
amita,3
amitava,1
amlin,2
amm,2
ammonia,22
ammunition,7
amnesty,14
amoco,7
amok,3
among,521
amongst,3
amorous,1
amortization,1
amosher,1
amount,524
amounted,12
amounting,3
amounts,129
amp,109
ample,13
amplified,2
amr,2
amro,7
amsterdam,4
amtrak,10
amusement,3
amy,25
amyotrophic,1
an,4491
